example_portuguese_sentence,example_libras_sentence
o homem cravou a estaca no chão.,estaca homem cravar chão.
a mulher trabalha e colocou o filho na creche.,mulher trabalhar filho levar creche.
eu adoro sorvete de creme.,sorvete creme eu adorar.
eu vou comprar um novo creme dental.,eu comprar escovar cremedental novo.
ela tem crença em jesus cristo.,elo jesuscristo crença ternão.
"tenho um amigo crente, ele é legal.",eu ter amigo crente elo legal.
"eu vi o crepúsculo na praia, é lindo!",praia eu ver crepúsculo lindo!
eu creio em deus.,eu crer deus.
meu filho está crescendo rápido.,meo filho pessoacrescer rápido.
meu cachorro cresceu rápido.,cachorro animalcrescer rápido.
o cabelo dela é crespo como o da mãe.,cabelo delo crespo igual mãe.
deus criou o mundo em seis dias.,deus criar mundo 6 dia.
ela quer criar uma nova associação de surdos.,elo quer criar novo associação surdo.
o menino criou um desenho bonito.,menino criar desenho bonito.
"a mulher abandonou um bebê na rua, outra mulher o pegou para criar.","mulher abandonar nenê rua, outro mulher pegar nenê criar."
roubar banco é crime e pode-se ficar preso por anos.,roubar banco crime preso ano+.
algumas pessoas gostam de criticar meu trabalho.,meo trabalho pessoa alguma gostar criticar.
faz muito frio na croácia.,país croácia friomuito.
eu vi o filme da crucificação de cristo.,eu ver filme jesuscristo crucificação.
o povo acusou os romanos por crucificar jesus.,povo acusar romano jesuscristo crucificar.
cristo morreu na cruz.,cristo morrer cruz.
a mulher sentou no sofá e cruzou as pernas.,mulher sentar sofá cruzarperna.
minha cachorra vai cruzar com o cachorro dele!,cachorro fêmea meo cruzar cachorro delo!
"antes cuba sempre vencia no jogo de vôlei, mas agora parou de ganhar.",antes cuba vôlei sempre ganhar agora parar.
cuba e méxico ficam na américa central.,cuba méxico lugar américacentral.
ele é cubamo e amigo do meu pai.,elo cubano amigo pai meo.
eu vou comprar cubos de gelo.,eu comprar gelo friocoisaquadrada.
meu namorado gosta de cueca azul.,meo namorado gostar cueca azul.
cuidado para não escorregar na escada!,cuidado escada escorregar!
aquele menino é bom e cuidadoso.,aquelo menino boo olhar cuidado.
você precisa cuidar da saúde.,você precisar ver cuidar saúde.
a babá cuida bem da criança.,babá cuidar bem criança.
na briga eu errei e senti culpa.,briga eu errar eu culpa.
"o homem é culpado, pois ele e a amante mataram a esposa.",homem culpado matar esposo amante elo2.
vovó sempre vai ao culto aos domingos.,domingo vovó culto sempre.
meu amigo é muito culto.,mo amigo cultomuito.
a cultura do brasil e a do japão são diferentes.,japão brasil cultura diferente+.
"ele estudou muito, tem muita cultura.","elo estudarmuito, ter cultura."
a visita chegou à minha casa e cumprimentou a família.,visita chegar meo casa cumprimentar família.
ela tem dois cunhados.,elo ter 2 cunhad.o.
"o cupido não existe, não acredito.",anjo^flecha existir não acreditar não.
na casa da tia dele tem muito cupim.,tio casa delo madeira^bicho muito.
aqui no rio é difícil vender cupuaçu.,aqui rio dificil vender cupuaçu.
o médico disse que a cura do câncer é difícil.,médico dizer câncer cura difícil.
o homem doente tomou comprimidos e ficou curado.,homem doente tomarcomprimido agora curar.
a criança com curiosidade cresce inteligente.,criança curiosidade crescer inteligente.
"aquela criança é curiosa, sempre quer saber tudo.",aquelo criança sempre curioso. querer saber tudo.
em curitiba faz muito frio.,lá paraná c friomuito.
"para ela ser admitida no trabalho, o chefe pediu o currículo vitae.",elo entrar trabalho chefe 3spedir3s pasta cv.
eu já fiz curso de informática.,curso informática eu formar já.
o short dela é muito curto.,short delo curtomuito.
deu um curto-circuito na minha televisão e ela pegou fogo.,meo tv curtocircuito pegarfogo.
a rua da minha casa tem uma curva perigosa.,casa rua curva perigoso.
ela se curvou por causa da cólica.,elo dorbarriga curvar doer.
"na igreja, eu sempre me curvo diante da cruz.",sempre igreja eu curvar cruz.
"cuspir no chão é feio, é falta de educação.",chão cuspir feio ternão educação.
você sabe quanto o vestido roxo custa na loja?,loja vestido roxo custar você saber?
passou uma mulher bonita e o homem cutucou o amigo.,mulher bonito pessoapassar homem ver amigo cutucar.
meu nome começa com a letra d.,nome meo começar letra d.
nós brincamos de dado na aula de matemática.,ontem aula matemática dado nós3 brincar.
o banheiro de damas fica naquela porta à esquerda.,lá banheiro porta esquerda dama.
vamos jogar damas hoje à noite?,hoje noite ir<vou> jogardamas?
meu sobrinho é danado.,sobrinho meo danado.
a dança é boa para a saúde.,dança boo saúde.
vamos dançar até de madrugada?,ir dançar madrugada?
vamos dançar?,nósdois dançar vamos?
ela é uma dançarina famosa que trabalha no teatro.,elo dançarino famoso trabalhar teatro.
as crianças danificaram o ônibus da escola.,escola ônibus criança+ danificar.
a batida fez danos no carro dele.,batida carro delo dano.
eu ontem já dei o disquete para eles?,ontem disquete 1sdar3p já?
"amanhã o chefe mandou eu acabar o serviço, mas não vai dar.",chefe 3s mandar1s serviço pronto amanhã eu darnao.
dá para você comprar um carro bmw? tenho dúvidas.,você dar comprar carro bmw? dúvida.
eu não sei onde está o dardo.,eu sabernão onde dardo.
qual é a data de sua viagem para porto alegre?,dia você viajar portoalegre?
"ele datou para eu ir ao médico, que será no mês que vem.",elo marcar^dia eu ir médico mês seguinte.
dê o texto para ele datilografar rápido e acabar hoje.,3sdar3s texto elo datilografar rápido acabar hoje.
ela quer fazer curso de datilografia.,elo querer ir curso datilografia.
"você fez datilologia mas não entendi, pois estava longe.",você datilologia eu entendernão longe eu vernão.
eu soprava a bexiga e de repente ela arrebentou.,eu soprar bexiga derepente arrebentar.
o sapato está debaixo da cama.,sapato cama debaixo.
"anteontem houve debate sobre um tema interessante, você podia ter vindo.",anteontem debate tema interessante você poder vir.
os surdos vão se reunir para debater sobre uma proposta adequada à educação de surdos.,amanhã surdo reunir debater proposta educação adequado surdo.
"você precisa comer, senão ficará debilitada.",você precisar comer si não debilitar.
a empresa esqueceu de debitar o imposto.,empresa esquecer debitar imposto.
"eu tenho um débito com o banco, para comprar um carro.",eu débito banco comprar carro.
aconselhe seu filho a não ficar debochando das pessoas.,aconselhar filho seo debochar pessoa não.
"por favor, não pode debruçar, é perigoso cair.",porfavor debruçar não perigoso pessoacair.
"aquele homem antes era rico, agora decaiu por causa da bebida.",aquelo homem antes rico agora decair porcausa bebida.
o decálogo de deus quer que todos respeitem a vida.,esto livro dez^mandar deus querer todo respeitar.
"antigamente, na frança, a pessoa presa era decapitada.",frança passado pessoa preso decapitar.
"ele é decente, eu o conheço.",elo decente eu conhecer.
"a máquina da fábrica decepou a mão do trabalhador, foi horrível.",máquina fábrica deceparmão homem horrível.
"você é falso, estou decepcionado.",você falso eu decepcionado.
"você é falso, estou decepcionado!",você falso eu decepcionado!
eu me decepcionei ao perder o vestibular.,eu decepcionar perder vestibular.
fiquei doente e decidi ir ao médico.,eu doente muitasvezes decidir ir médico.
o homem pesquisou e conseguiu decifrar a palavra egípcia.,homem pesquisar conseguir palavra egípcia decifrar.
"amanhã, na reunião, será tomada uma importante decisão sobre a educação.",amanha reunião importante decisão sobre educação.
eu pedi uma declaração do curso para apresentar no meu trabalho.,1spedir3s declaração curso coisaretangular apresentar trabalho.
você recebeu do curso de instrutor diploma ou declaração?,você curso instrutor diploma declaraçao?
a médica declarou que ela tem uma doença no coração.,médico declarar elo doença coração.
na estrada tem placa de sinalização mostrando uma declinação.,estrada ter placa aviso declinação.
"levei um susto, pois o avião decolou muito rápido.",eu susto avião decolaravião rápido.
os dinossauros antigos morreram e os seus ossos foram decompostos.,dinossauro antigo morrer osso decompor.
"ela é criança, decora com facilidade.",elo criança decorar fácil.
"o natal está próximo, vou decorar a árvore.",natal próximo vou decorar árvore.
o prefeito decretou que é proibido cachorro defecar na rua.,prefeito decretar lei proibido cachorro defecar rua.
na suécia já existe um decreto determinando que as escolas ensinem a língua de sinais.,suécia já papel^ lei línguadesinais dentro casa^estudar.
eles se sentaram e conversaram no decurso até anoitecer.,elo2 sentar conversar decurso até noite.
não me lembro de onde guardei o dedal.,lembrarnão onde guardar dedal.
"ontem fiz a dedetização da casa, por isso ela está com cheiro ruim.",ontem casa dedetização porisso cheiro ruim.
aquele mulher se dedica com paciência ao filho pequeno.,mulher aquelo dedicar paciência filho pequeno.
ela sabe dedilhar o piano com perfeição.,elo saber dedilharpiano perfeito.
não enfie o dedo no bolo quente.,bolo enfiardedo quente não.
aquele empregado vai dedurar você por chegar atrasado.,empregado aquelo vai dedurar chefe você chegar atrasado.
o dono da padaria resolveu deduzir 15% do preço do pão.,dono padaria resolver preço deduzir 15% pão.
meu filho está doente e defecou mole.,filho meo doente defecar mole.
"o computador está com defeito, amanhã vou levar para consertar.",computador defeito amanhã levar consertar.
"quando todos a xingavam, eu a defendi.",pessoa todo 3p xingar3s eu 1sdefender3s.
"o advogado defendeu, no tribunal, a mulher acusada de matar uma pessoa.",tribunal advogado defender mulher acusado matar pessoa.
o ladrão invadiu minha casa. fiquei apavorada e peguei um revólver para me defender.,ladrão casa invadir eu apavorado procurar defesa eu pegar revólver.
"aquele homem, meu amigo, é deficiente auditivo.",homem aquelo amigo meo é da.
aquele deficiente fisico ganhou uma medalha no basquete.,homem aquelo deficientefisico ganhar medalha basquete.
o filho de meu vizinho é deficiente mental. é bom e educado.,vizinho filho delo deficientemental boo educado.
"existe um computador especial, adequado para o deficiente visual.",ter computador especial adequado pessoa deficientevisual.
no sábado haverá uma palestra sobre o deficiente.,sábado próximo ter palestra sobre deficiente.
o vizinho tem uma mulher com deficiência no braço.,vizinho ter mulher deficientebraço.
"hoje de manhã dei a ela uma flor, que por causa do sol forte, definhou à tarde.",hoje manhã eu 1sdar3s flor tarde definharflor rápido porcausa sol forte.
esta mulher já definiu como viajar de excursão.,mulher esto já definir como viajar excursao.
"a mãe dela, distraída, colocou o prato de plástico em cima do fogão e ele ficou deformado.",mãe delo distraído deixar prato plástico fogão deformar.
melhor é você conversar defronte sua mãe.,melhor voce conversar defronte mae seo.
"no caixão, o defunto parecia sorrir.",defunto caixão parecer sorrir.
ela não consegue deglutir o remédio.,remédio elo deglutir conseguirnão.
"eu vi no filme: o homem degolou a criança com a espada, coitada...",eu 1sver3s filme homem espada degolar criança coitado...
a igreja da penha tem muitos degraus.,igreja lá penha ter degrau muito.
ele tem o costume de degustar demoradamente.,elo costume sempre degustar demorar.
"eu fiquei em pé o dia todo, preciso deitar para descansar.",eu empé diatodo precisar deitar descansar.
"é bom você se deitar cedo, amanhã vai trabalhar.",boo você deitar cedo amanhã trabalhar.
"minha mãe briga comigo, mas eu deixo para lá.",mãe 3sbrigar1s eu 1sdeixar3s.
meu pai deixou que eu me hospedasse hoje em sua casa.,pai deixar eu 1shospedar2s seo casa hoje.
ele deixou a presidência da associação.,elo deixar presidência associação.
aquele homem vai delatar para a polícia.,homem aquelo vai delatar polícia.
o carro dela é bonito.,carro delo bonito.
a delegacia de polícia fica perto da casa dela.,casa delo perto delegaciapolícia.
aquele delegado é tão bom que pode te ajudar.,homem delegado aquelo bom poder 1sajudar2s.
a secretária vai deletar o seu texto no computador.,mulher secretário vai deletar texto seo computador.
"o bebê de um mês é delicado, precisa de muito cuidado.",bebê 1 mês delicado precisar muito cuidado.
a carne do churrasco é uma delícia!,carne churrasco delícia.
"nos desfiles, as modelos sempre usam o delineador de várias maneiras.",mulher desfile sempre delineador vario+.
